Slang;Formal
ngntuk;ngantuk
yutub;youtube
reeeeekk;teman
bangeeeeeeeeddd;sekali
even;bahkan
biasae;biasa
ttg;tentang
trmsk;termasuk
subject;subjek
he;dia
wants;ingin
happy;senang
combination;kombinasi
dude;teman
what;apa
wrong;salah
crack;pecah
serek;serak
or;atau
jwb;jawab
scr;secara
balance;imbang
left;keluar
kat;dekat
dek;dik
nyokap;ibu
bokap;bapak
wit;twitter
brisik;berisik
bcs;karena
dikasi;kasih
slese;selesai
mggu;minggu
menabahh;tambah
nabah;tambah
gasin;gas
gass;gas
gasss;gas
hayu;ayo
abah;bapak
sklh;sekolah
boring;bosan
pagiiiiii;pagi
hayo;ayo
home;rumah
ketiwi;tawa
ketawa;tawa
sampe;sampai
alfa;alpa
hr;hari
br;baru
mincot;admin
iyhh;iya
team;grup
gemeter;getar
kelar;selesai
kaak;kakak
bobooo;tidur
bobo;tidur
bobok;tidur
njirrrr;anjing
mellow;lembut
prefer;suka
naok;naik
naro;taruh
by;dari
ori;asli
yt;youtube
jk;gurau
mtk;matematika
saiki;sekarang
blass;blas
po;apa
call;telpon
mhs;mahasiswa
tauu;tahu
arek;anak
ambis;ambisius
blank;kosong
sja;saja
voice;suara
syg;sayang
fake;palsu
mblenger;terlalu
walo;walau
walopun;walau
kekeuh;kukuh
yaambunnn;allah
punggu;punggung
alesan;alasan
redirect;alih
nyatet;catat
bakal;akan
bakalan;akan
bkalan;akan
leave;keluar
cengini;siang
gi;lagi
dm;pesan
volunteer;relawan
kagok;susah
ngelambe;bicara
personal;pribadi
rotate;putar
takpa;tidak apa
dpt;dapat
ssejak;sejak
coroni;corona
beres;selesai
sumpahh;sumpah
sumpahhh;sumpah
tuhhh;itu
harusnyaa;harus
praktek;praktik
les;kursus
mimin;admin
mas;kakak
bapack;bapak
drop;jatuh
pulak;pula
give;beri
away;jauh
aslii;asli
mksudnya;maksud
mksud;maksud
kyknya;seperti
ja;saja
duk;duduk
cakap;bicara
rejeki;rezeki
rizki;rezeki
rizkinya;rezeki
rejekinya;rezeki
ujan;hujan
maybe;mungkin
brou;kakak
keep;simpan
spirit;semangat
focus;fokus
prayer;doa
believe;percaya
can;dapat
skola;sekolah
gatauuu;tidak tahu
perna;pernah
tolol;bodoh
murid;siswa
ngaco;kacau
jela;saja
book;buku
ikit;ikut
pape;apa
